Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Hyperlink,Source,Publicatie_unique,Article_ID
Vrouwenrechtenverdrag is ‘ideologie’ voor Polen,2020-07-27,International,NRC.nl,News,686,,686,"Netherlands, Kingdom of the",Emilie van Outeren,,,,Vrouwenrechtenverdrag is ‘ideologie’ voor Polen,"Vrouwenrechtenverdrag is ‘ideologie’ voor Polen Een internationaal verdrag tegen vrouwenmishandeling is in Midden-Europa steen des aanstoots omdat het genderrollen ter discussie stelt. „Een feministische uitvinding om homo-ideologie te rechtvaardigen.” Met veel tumult stapt Polen uit het internationale verdrag dat vrouwen moet beschermen tegen verkrachting, huiselijk geweld en discriminatie. Justitieminister Zbigniew Ziobro belegde in het weekend een persconferentie om aan te kondigen dat hij de deratificatie van de zogeheten Istanbulconventie in gang zou zetten. Dit verdrag uit 2011 „bevat elementen van ideologische aard die wij schadelijk achten”, aldus Ziobro, de meest rechtse minister in de Poolse conservatief-nationalistische regering. Voorafgaand aan de beslissing gingen duizenden vrouwen in Warschau en elders de straat op, maar met vrouwenrechten heeft Ziobro’s ideologische beslissing weinig te maken. Met de rechten van homoseksuelen en transgenders en de Poolse controverse over seksuele voorlichting op scholen des te meer. Waar Ziobro aanstoot aan neemt is namelijk „de constructie van het zogenaamde sociaal-culturele gender in tegenstelling tot biologische sekse”. De suggestie, met andere woorden, dat man of vrouw zijn een keuze is.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60FP-G4Y1-DY4K-80GT-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2896
Tolerantie is maar een heel dun laagje ijs Column Frits Huffnagel,2020-07-29,International,De Telegraaf.nl,News,537,FRONTPAGE,537,"Netherlands, Kingdom of the",Frits Huffnagel,,,,Tolerantie is maar een heel dun laagje ijs Column Frits Huffnagel,"Tolerantie is maar een heel dun laagje ijs Column Frits Huffnagel Bij mij in de straat hangen heel wat regenboogvlaggen, ook aan huizen waarvan ik weet of vermoed dat er geen homo’s, transgenders of andere leden van de LHBTI-gemeenschap wonen. Mensen hebben gehoor gegeven aan de oproep van de organisatie van Pride Amsterdam om, nu de meeste activiteiten in de Prideweek niet door kunnen gaan, de bekende regenboogvlag zichtbaar op te hangen.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60GH-NMF1-DY4K-S4FM-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2645
"’Nee, ik wil niet geslachtsloos door het leven!’ Opinie",2020-07-07,International,De Telegraaf.nl,News,572,VROUW2; COLUMNS & OPINIE,572,"Netherlands, Kingdom of the",Vala van den Boomen,,,,"’Nee, ik wil niet geslachtsloos door het leven!’ Opinie","’Nee, ik wil niet geslachtsloos door het leven!’ Opinie Binnen vijf jaar target=""_blank"" title=""https://www.telegraaf.nl/nieuws/1426775917/geslacht-over-paar-jaar-geschrapt-van-identiteitskaart"">verdwijnen de geslachtsaanduidingen ’M’ en ’V’ van de Nederlandse identiteitskaart. Dit om non-binaire en transgender personen te erkennen in hun identiteit. Maar hoe zit het met die heel grote groep mensen die zich wel identificeert met hun sekse? Moeten zij opeens geslachtsloos door het leven?",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60B5-J7Y1-DY4K-S1YS-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2638
Eerste openlijk transgender model in zwemkledingeditie van Sports Illustrated,2020-07-14,International,De Volkskrant.nl,News,234,,234,"Netherlands, Kingdom of the",Redactie,,,,Eerste openlijk transgender model in zwemkledingeditie van Sports Illustrated,Eerste openlijk transgender model in zwemkledingeditie van Sports Illustrated Valentina Sampaio wordt het eerste openlijk transgender model in de ‘swimsuit issue’ van het Amerikaanse blad Sports Illustrated. Het is haar derde overwinning op de oude normen in de mode-industrie u2212 ze stond al voorop de Vogue en werd ingehuurd door Victoria’s Secret .,De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60BV-YMC1-JBHV-K4VY-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1027
"Sekswerkers mogen aan de slag, hoe is het op de Wallen? ‘Eerder grimmig dan opgetogen’",2020-07-01,International,De Volkskrant.nl,News,340,,340,"Netherlands, Kingdom of the",Peter de Graaf,,,,"Sekswerkers mogen aan de slag, hoe is het op de Wallen? ‘Eerder grimmig dan opgetogen’","Sekswerkers mogen aan de slag, hoe is het op de Wallen? ‘Eerder grimmig dan opgetogen’ Ook de sekswerkers mogen na maanden stilzitten  vandaag eindelijk weer aan de slag. Verslaggever Bas Beekman ging vannacht naar de Amsterdamse Wallen om te kijken of de branche zich direct weer opricht.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6083-V171-DY0X-952W-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1020
Kans is groot dat overvallers wisten waar Youtube-ster Nikkie de Jager (26) woont,2020-08-10,International,AD/Algemeen Dagblad.nl,News,500,,500,"Netherlands, Kingdom of the",Lieke Mulder,,,,Kans is groot dat overvallers wisten waar Youtube-ster Nikkie de Jager (26) woont,"Kans is groot dat overvallers wisten waar Youtube-ster Nikkie de Jager (26) woont De kans is groot dat de drie overvallers die make-up artiest en Youtube-ster Nikkie de Jager (26) (ook bekend als NikkieTutorials) gisteren onder schot hielden in haar landhuis, wisten waar de beautyqueen woont. Via onder andere de site Bekendeburen.nl is voor iedereen te vinden waar ze woont. Met luchtfoto en al stond het huis op de site. Van de daders ontbreekt nog ieder spoor. Een dag na de woningoverval op Youtube-ster Nikkie de Jager is het, net als altijd, rustig in de straat. De Jager woont hier in relatieve anonimiteit. Er stonden nooit drommen fans bij haar huis. Net nadat zaterdagmiddag bekend werd dat er een woningoverval heeft plaatsgevonden, is de sfeer bij het landhuis van Nikkie de Jager niet fijn. Het is 17.00 uur. Vier politiewagens staan voor de deur geparkeerd, binnen wordt onderzoek gedaan. In een zwarte Mercedes zit een beveiliger die nieuwsfotografen op afstand houdt. ,,Niet verder, anders krijg je problemen.” De Jager kocht dit huis, zo aan deze rustige, wat afgelegen klinkerweg net ten noordoosten van Uden twee jaar geleden. Veel buren zijn er niet. Ze woont er met haar verloofde Dylan Drossaers in relatieve anonimiteit. Er stonden nooit drommen fans voor de deur. Het huis is wel zwaar beveiligd. Daarvóór woonde ze een paar jaar in een appartement in het centrum van Uden. Het is goed te begrijpen dat ze juist deze plek koos om te wonen.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60JD-KP71-DY0X-91RB-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,620
Ook 'marcha' Buenos Aires staat nu op losse schroeven,2020-08-01,International,AD/Algemeen Dagblad,News,333,Centraal Z;Blz. 2,333,"Netherlands, Kingdom of the",PETER SCHOUTEN,,,,Ook 'marcha' Buenos Aires staat nu op losse schroeven,"Ook 'marcha' Buenos Aires staat nu op losse schroeven Geen 25ste editie vandaag van de Canal Parade in Amsterdam vanwege corona. Het vergelijkbare evenement in Buenos Aires ('gay paradise') is al bijna dertig jaar het toneel van feest én strijd, maar ook daar rijst nu de vraag of de tocht kan doorgaan. Zo doen zij dat Het is slechts twee kilometer, maar met een enorme impact. De jaarlijkse Marcha del Orgullo (orgullo betekent trots) in de Argentijnse hoofdstad Buenos Aires trok vorig jaar ruim tweehonderdduizend bezoekers. Het is letterlijk een schitterende tocht.",AD/Algemeen Dagblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60GN-VVC1-DYRY-X1JN-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,615
"Film Una mujer fantástica NPO 2, 23.20-00.55u. Uitgelicht",2020-08-07,International,NRC,News,193,DE GIDS;Blz. 14,193,"Netherlands, Kingdom of the",,,,,"Film Una mujer fantástica NPO 2, 23.20-00.55u. Uitgelicht","Film Una mujer fantástica NPO 2, 23.20-00.55u. Uitgelicht (Sebastián Lelio) De Chileense regisseur Sebastián Lelio is sinds zijn film Gloria (2013) geïnteresseerd in contemporaine vragen rond seksualiteit, gender en de eeuwige zoektocht naar liefde als je niet in het format van een Hollywoodromance past. Dat hij met Una mujer fantástica een film over een transvrouw zou maken stond niet op voorhand vast, het onderwerp ,,diende zich bij hem aan"", vertelde hij ooit in een interview. Pas toen hij actrice Daniela Vega had ontmoet, had hij het hart van zijn film gevonden. Vega speelt Marina, een transvrouw die haar geliefde Orlando verliest. Opeens wordt ze geconfronteerd met wrede vooroordelen: de politie denkt dat ze wel schuld zal hebben aan zijn dood en behandelt haar achtereenvolgens als dader en slachtoffer. Orlando's familie (ex-vrouw en volwassen kinderen) kan niet accepteren dat hun pater familias geen boodschap meer had aan familie en rolpatroon. Marina heeft geen kans om om haar geliefde te rouwen. Ook de film is 'trans' - transgenre welteverstaan. Een emotionerende mix tussen sociaal realisme, melodrama en magisch realisme. En dankzij de verbeelding kan Marina zichzelf terugvinden.",NRC.NEXT,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60HX-YF61-DYMH-R4GX-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2900
"Documentaire Seahorse NPO 3, 22.05-23.30u.",2020-08-27,International,NRC Handelsblad,News,93,DE GIDS;Blz. 30,93,"Netherlands, Kingdom of the",,,,,"Documentaire Seahorse NPO 3, 22.05-23.30u.","Documentaire Seahorse NPO 3, 22.05-23.30u. De Brit Freddy (30) is een homoseksuele transgenderman die graag een gezin wil. Hij is echter niet voorbereid op de lichamelijke en emotionele realiteit van een zwangerschap. Wat voor hem goed voelt, is voor anderen confronterend. Vechtend tegen geweld richting transgenders wordt hij geconfronteerd met zijn naïviteit. Seahorse is een van de meest ontroerende documentaires van het jaar: regisseur Jeanie Finlay weet op een integere manier de frustraties en het doorzettingsvermogen van de transgenderman voor een groot publiek invoelbaar te maken. Link naar PDF",NRC Handelsblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60P8-1161-JC5G-119V-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2904
Brandbrief over homogeweld in azc’s: vrouw met kokend water overgoten,2020-08-21,International,De Telegraaf.nl,News,178,BINNENLAND; FRONTPAGE,178,"Netherlands, Kingdom of the",,,,,Brandbrief over homogeweld in azc’s: vrouw met kokend water overgoten,"Brandbrief over homogeweld in azc’s: vrouw met kokend water overgoten Er moet nu echt iets worden gedaan aan geweld tegen homo’s, lesbiennes, biseksuelen en transgenders in de Nederlandse asielzoekerscentra. Velen voelden zich er onveilig. Stichting LGBT Asylum Support zegt sinds begin juni al meer dan zestig meldingen over geweld te hebben gekregen.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60MY-M2W1-JBNJ-2541-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2647
Moeder en dochter over feminisme... ’Op de barricades klimmen nog steeds belangrijk’ VROUW Glossy,2020-08-27,International,De Telegraaf.nl,News,795,VROUW2; VROUW MAGAZINE,795,"Netherlands, Kingdom of the",Lizette van Loenen,,,,Moeder en dochter over feminisme... ’Op de barricades klimmen nog steeds belangrijk’ VROUW Glossy,"Moeder en dochter over feminisme... ’Op de barricades klimmen nog steeds belangrijk’ VROUW Glossy Is feminisme nog wel nodig? En waar vechten we na #MeToo dan voor? Zes feministen van verschillende generaties gaan in de nieuwe VROUW Glossy met elkaar in gesprek. Barbara van Beukering (53) is journalist, schrijver en moeder van vier kinderen. Een van hen is Milou Deelen (24). Milou is - net als haar moeder - journalist en schreef het boek Krabben, over waarom vrouwen elkaar naar beneden halen. Hun (moeder-dochter-)gesprek plaatsen we hieronder ook online. Moeder Barbara: „Mijn moeder werkte veel, zat in de politiek en was een tijdje voorzitter van de emancipatieraad. Zij gebruikte het woord emancipatie. Zij zag feministen namelijk vooral als boze, activistische vrouwen. Ik nam het woord feminist ook nooit in de mond. ’We zijn er nu wel’, dacht ik. Ik heb altijd fulltime gewerkt, was kostwinner en ben door alle glazen plafonds gebroken. Dan is feminisme toch niet meer nodig? Tot jij me liet inzien dat het nog steeds belangrijk is om op de barricades te klimmen…”",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60P7-BYW1-DY4K-S2YD-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2648
Zo nu en dan doet mevrouw Hofstee een poging om mij te bekeren,2020-08-30,International,De Volkskrant.nl,News,687,,687,"Netherlands, Kingdom of the",Redactie,,,,Zo nu en dan doet mevrouw Hofstee een poging om mij te bekeren,"Zo nu en dan doet mevrouw Hofstee een poging om mij te bekeren ‘Je bent van harte welkom’, zeggen de Jehova’s getuigen die weleens bij gastcolumnist Thomas van der Meer aanbellen. Maar: ‘Ze zien niet dat ik transgender ben. Als ze dat wel zagen, zouden ze me niet uitnodigen.’ ‘Dit vind ik altijd een beetje eng’, zegt mevrouw Hofstee (78). Ik takel haar met een tillift uit bed, want ze is grotendeels verlamd. Boven de rolstoel laat ik haar langzaam zakken.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60PX-0JM1-DY0X-90RM-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1036
Metamorfose,2020-08-05,International,de Volkskrant,News,305,V DIDU;Blz. 12,305,"Netherlands, Kingdom of the",OLAF TEMPELMAN,,,,Metamorfose,"Metamorfose De bewust digibete burger De buurjongen oogde als vrouw nauwelijks anders dan als man en mijn dochter veranderde op natuurlijke wijze in een jongen, want ze is stoer en houdt van voetbal. Bij opa waren de gevolgen van een geslachtsverandering wel schokkend: hij kreeg een smallere hals en fraai hoofdhaar. Na enig tegenstribbelen stemde ik ook toe in een geslachtsverandering. FaceApp maakte van mij een brunette op wie ik, eerlijk is eerlijk, niet meteen af zou stappen. Wel knap dat zo'n app precies je oorspronkelijke haarkleur achterhaalt.",de Volkskrant,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60HD-N4C1-JC8X-627W-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1030
"Amersfoort in het teken van uit de kast komen: ‘Hoe ouder je bent, hoe moeilijker het is om te vertellen’",2020-09-28,International,AD/Algemeen Dagblad.nl,News,606,,606,"Netherlands, Kingdom of the",Redactie,,,,"Amersfoort in het teken van uit de kast komen: ‘Hoe ouder je bent, hoe moeilijker het is om te vertellen’","Amersfoort in het teken van uit de kast komen: ‘Hoe ouder je bent, hoe moeilijker het is om te vertellen’ Een week lang wordt in Amersfoort aandacht besteed aan eenieder die lhbt is: lesbisch, homo, bi of transgender. Met als finale Coming Out Day op zondag 11 oktober. Aanleiding om de drie organisatoren te vragen hoe zíj uit de kast kwamen. Hoe ouder ze zijn, hoe moeilijker dat ging.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60Y4-KMW1-DY0X-940D-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,633
"Den Haag verhuist raamprostitutie, maar is dat wel wenselijk?",2020-09-05,International,AD/Algemeen Dagblad.nl,News,1024,,1024,"Netherlands, Kingdom of the",Lex de Jonge,,,,"Den Haag verhuist raamprostitutie, maar is dat wel wenselijk?","Den Haag verhuist raamprostitutie, maar is dat wel wenselijk? Den Haag wil vaart maken met de verhuizing van de raamprostitutie. Maar makkelijk gaat dat niet. En is het eigenlijk wel wenselijk? ,,Straks maken we een gloednieuw erotisch centrum voor een stervende bedrijfstak.” Het scheelde een haar of het Oude Centrum had dit jaar een pijnlijk jubileum gevierd. In november zou de Haagse binnenstadswijk maar liefst 25 jaar achtereen het stempel van ‘tijdelijk noodgebied’ dragen. Vooral vanwege de prostitutie in de Doubletstraat, die nu eenmaal veel criminaliteit aantrekt en dus ook veel overlast geeft.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60S5-WYK1-DY0X-91BR-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,627
Transman in game heeft ander trauma,2020-09-09,International,NRC.nl,News,636,,636,"Netherlands, Kingdom of the",Len Maessen,,,,Transman in game heeft ander trauma,"Transman in game heeft ander trauma Zo kun je ook met transgender personages omgaan in games, toont de Franse maker Dontnod in het nieuwe Tell Me Why. Het is geen topless-scène, geen dramatische coming-out flashback en zeker niet een oud familielid dat de verkeerde naam roept: dat Tyler Ronan transgender is, leren we als hij het boek Gezonde masculiniteit voor transgender mannen op zijn bureau oppakt. Een klein statement van de Franse gamemaker Dontnod: zó kun je ook met transgender personages omgaan. De game Tell Me Why draait om de assertieve, zoekende Tyler en zijn tobberige, afwachtende zus Alyson, die tien jaar geleden nipt een familiedrama wisten te voorkomen door hun eigen moordzuchtige moeder te doden. Tyler werd naar jeugddetentie gestuurd; Alyson bleef alleen achter in het afgelegen bergdorp in Alaska waar ze opgroeiden. Nu keert de tweeling terug naar hun ouderlijk huis om een traumatisch hoofdstuk in hun leven af te sluiten.",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60T3-68B1-JBNH-J0M9-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2908
Hoe performer Sven Ratzke de coronatijd doorkomt,2020-09-23,International,NRC.nl,News,1392,,1392,"Netherlands, Kingdom of the",Elisabeth Oosterling,,,,Hoe performer Sven Ratzke de coronatijd doorkomt,"Hoe performer Sven Ratzke de coronatijd doorkomt Sven Ratzke zou de hoofdrol spelen in ‘The Rocky Horror Show’, maar corona veegt zijn agenda leeg. Hij worstelt zich door de lockdown en is nu te zien in Berlijn als transseksuele punkrockdiva in de musical ‘Hedwig and the Angry Inch’. „In huiskamers optreden is niet mijn vak.” Dit zou een artikel worden over de weg van performer Sven Ratzke (Nijmegen, 1977) naar de première van de musical The Rocky Horror Show , waarin hij de hoofdrol zou spelen. De voorbereidingen zijn begin dit jaar in volle gang. Op een publiciteitsfoto uit die tijd kijkt Ratzke, met parelketting en zwarte nagellak, onverschrokken de camera in als Dr. Frank-N-Furter, de ‘sweet transvestite’ die Tim Curry vertolkte in de filmversie uit 1975. Dan wordt het maart en verandert alles. Met de landelijke theatersluiting ziet Ratzke ruim honderdvijftig shows in rook opgaan, naast de musical ook voorstellingen van zijn eigen programma. „Ik was toen wel even aan de grens van depressief”, vertelt hij twee maanden later. Hij is op een punt in zijn carrière waar hij lang naar heeft toegewerkt. „Ik speelde vijf, zes voorstellingen per week en opeens werd alles – zoep – weggezogen. Dat voelde heel oneerlijk.” Door de lockdown wordt zijn wereld klein, terwijl Ratzkes tourschema hem normaal gesproken over de globe voert: hij treedt veel op in zijn tweede thuis, Duitsland, maar ook in New York en Nieuw-Zeeland. „Het leek alsof we honderd jaar terug in de tijd gingen. Alles werd onbereikbaar. Australië was alleen nog een stip op de wereldkaart, waarbij je dacht: ooit ga ik daar eens naar toe.”",NRC.nl,Web Publication,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60X2-ST31-DY4K-80DP-00000-00&context=1519360&sourcegroupingtype=G,NRC 2019-2021 hele sample.XLSX,NRC,2912
Recensie ’Transmissions’ - Weerloos aan zijn lippen,2020-09-24,International,De Telegraaf.nl,News,180,ENTERTAINMENT; CULTUUR; ENTERTAINMENT,180,"Netherlands, Kingdom of the",Bart Wijlaars,,,,Recensie ’Transmissions’ - Weerloos aan zijn lippen,"Recensie ’Transmissions’ - Weerloos aan zijn lippen In de categorie onalledaags en bij uitstek bijzonder graag uw aandacht voor Beverly Glenn-Copeland. Van zijn hand verschijnt vandaag Transmissions. Dat de inmiddels 76-jarige Amerikaans/Canadese componist en transgender hiervoor vijftien jaar decennia lang niets nieuws uitbracht is een aardig wapenfeit op zich, maar dit is zeker geen aanrader exclusief voor wie hem gemist heeft. Al heb je nog nooit van deze artiest gehoord, des te steiler zul je achterover slaan van deze ijzersterke en unieke mix tussen pop, folk, alternatieve rock, minimal en -jawel!- opera.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60X7-Y1H1-DY4K-S2S4-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2658
Non-binaire Thorn uit ’SpangaS’: ’Ik zat met mezelf in de knoop’ In het nieuws,2020-09-04,International,De Telegraaf.nl,News,458,VROUW2; IN HET NIEUWS,458,"Netherlands, Kingdom of the",Yerin Koekkoek,,,,Non-binaire Thorn uit ’SpangaS’: ’Ik zat met mezelf in de knoop’ In het nieuws,"Non-binaire Thorn uit ’SpangaS’: ’Ik zat met mezelf in de knoop’ In het nieuws In de populaire tv-serie ’SpangaS’, waarin het draait om het leven van leerlingen op het Spangalis College, worden al sinds het begin in 2007 allerlei maatschappelijke kwesties getackeld. Maar nooit eerder deed een verhaallijn zoveel stof opwaaien als nu: de non-binaire ’Lesley’ werd toegevoegd aan de cast in het nieuwe seizoen van ’Spangas: De Campus’. En dat ging niet onopgemerkt.",De Telegraaf.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60RY-C721-JBNJ-23MP-00000-00&context=1519360&sourcegroupingtype=G,Telegraaf 2019-2021 hele sample.XLSX,Telegraaf,2651
Hoog tijd voor een krachtig milieuministerie,2020-09-28,International,De Volkskrant.nl,News,890,,890,"Netherlands, Kingdom of the",Redactie,,,,Hoog tijd voor een krachtig milieuministerie,"Hoog tijd voor een krachtig milieuministerie De ingezonden lezersbrieven van dinsdag 29 september. Brief van de dag: Granulietaffaire is schoolvoorbeeld corruptie De granulietaffaire (Ten eerste, 25 september) laat zien hoe VVD’ers vriendjespolitiek bedrijven. Als je wil weten hoe corruptie in Nederland werkt en waar het zit, is dit een schoolvoorbeeld. Corruptie is: als ambtenaar of bestuurder je vrienden, partij of achterban een voordeel geven waar ze geen recht op hebben, bijvoorbeeld een stortvergunning. Dat gaat altijd ten koste van het algemeen belang, zoals hier het milieu.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60Y4-KMW1-DY0X-91G8-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1049
Gemeente Den Haag verandert ‘lhbti’ in ‘queer’. Hoe valt dat woord?,2020-09-25,International,De Volkskrant.nl,News,666,,666,"Netherlands, Kingdom of the",Bart Dirks,,,,Gemeente Den Haag verandert ‘lhbti’ in ‘queer’. Hoe valt dat woord?,"Gemeente Den Haag verandert ‘lhbti’ in ‘queer’. Hoe valt dat woord? De gemeente Den Haag gebruikt voortaan het woord ‘queer’ in plaats van de afkorting lhbti. Dat zou meer mensen aanspreken. Hoe valt dat woord? Wethouder Bert van Alphen (GroenLinks):  ‘We hebben enorm zitten worstelen met de naamgeving. In 2009, toen ik ook wethouder was, ging mijn nota nog over homo-emancipatie. Veel mensen vinden de bekende hokjes homoseksueel, lesbienne, biseksueel, transgender en heteroseksueel knellend en onnodig beperkend klinken. Bij de afkorting lhbti+ zegt iedereen na de t ‘enzovoorts, enzovoorts’.  Queer is een term die  we jongeren en andere stadsgenoten geregeld horen en gebruiken. Het woord ‘queer’ deelt niet in, maar daagt juist uit. Daarom hebben we ons nieuwe actieprogramma voor meer zichtbaarheid en acceptatie ‘Queer in Den Haag’  gedoopt.’ Frits Huffnagel, voormalig voorzitter van de Pride Amsterdam, haalde als wethouder in 2009 de Roze Zaterdag naar Den Haag, samen met Van Alphen: ‘We hadden altijd het woord gay, maar dat associeerden sommige leden van de Pridefamilie alleen met homomannen, niet met vrouwen, transgenders of biseksuelen.",De Volkskrant.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:60X8-PP11-DY0X-9062-00000-00&context=1519360&sourcegroupingtype=G,Volkskrant 2019-2021 hele sample.XLSX,Volkskrant,1047
"Coming Out Week voor Almelose sportclubs, waar acceptatie van ‘anders zijn’ wel wat beter kan",2020-10-06,International,AD/Algemeen Dagblad.nl,News,481,,481,"Netherlands, Kingdom of the",Jeroen de Kleine,,,,"Coming Out Week voor Almelose sportclubs, waar acceptatie van ‘anders zijn’ wel wat beter kan","Coming Out Week voor Almelose sportclubs, waar acceptatie van ‘anders zijn’ wel wat beter kan ALMELO - Kim de Wild van Sportbedrijf Almelo schuift wel eens aan bij de bestuurders van lokale voetbalclubs. Bijvoorbeeld om te peilen hoe ze met homoseksualiteit omgaan. „Die grote mannen veranderen dan ineens in giechelende jochies.” Werk aan de winkel dus. Nog steeds. De eerste Coming Out Week deze week vormt een belangrijke stap.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:610S-H7B1-DY0X-94C1-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,635
Lezersbrieven,2020-10-08,International,AD/Algemeen Dagblad,News,764,Service;Blz. 24,764,"Netherlands, Kingdom of the",,,,,Lezersbrieven,"Lezersbrieven Stuur uw mening naar brieven@ad.nl 'Parlement nam erg veel tijd met noodwet' (Commentaar Hans van Soest 7-10). De vinger op de zere plek. En de app die kan helpen bij bron- en contactonderzoek was al deze zomer klaar. Maar omdat wetgeving twee maanden stil lag vanwege het zomerreces, is onnodig vertraging opgelopen. Ik kreeg een Majoor-Keesgevoel. Deze geweldige creatie van Paul van Vliet zei ooit dat we het buitenland zouden verzoeken het vaderland niet aan te vallen tussen vrijdag 17 uur en maandagochtend 9 uur. Kor van der Heiden, Puttershoek. Door het kerkbezoek daar gaan alle kerken terug naar 30 bezoekers. Staphorst, bedankt! In onze kerk zijn we druk bezig met de voorbereiding van Allerzielen op 2 november, de jaarlijkse herdenking van de overledenen, misschien wel de mooiste viering van het jaar. Hoe kunnen we dit in vredesnaam realiseren met 30 bezoekers? Families hebben dit voorjaar al te maken gehad met vreselijke beperkingen tijdens de uitvaart. Laat ons alstublieft teruggaan naar 100 personen; dan kan er net iets meer. De kerk is coronaproof ingericht. Ineke Tubben, De Belte (Slagharen).",AD/Algemeen Dagblad,Krant,,,,,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6114-XWJ1-DYRY-X0XF-00000-00&context=1519360&sourcegroupingtype=G,AD 2019-2021 hele sample.XLSX,Algemeen Dagblad,636
