Titel,Datum,Plaats van publicatie,Publicatie,Publicatietype,Lengte,Sectie,Lengte.1,Landen,Auteur,Agg-copyright,Cite,Bedrijf,Titel.1,Hlead,Publicatie.1,Publicatietype.1,Pub-copyright,Weergeven,Termen,Ticker,Source,YearMonth,Week
"Voor- en tegenstanders transgenderwet al 1,5 uur in brandende zon gespannen tegenover elkaar in Utrecht",2023-09-09,International,Algemeen Dagblad,News,585,,585,"Netherlands, Kingdom of the",Richard Hoving,,,,"Voor- en tegenstanders transgenderwet al 1,5 uur in brandende zon gespannen tegenover elkaar in Utrecht","Voor- en tegenstanders transgenderwet al 1,5 uur in brandende zon gespannen tegenover elkaar in Utrecht Met een lawaaiprotest proberen demonstranten zaterdagmiddag in Utrecht een bijeenkomst tegen de transgenderwet te verstoren. Voor- en tegenstanders staan letterlijk tegenover elkaar, gescheiden door de politie en in de brandende zon.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,36
"‘Mevrouw, u ziet er niet mannelijk genoeg uit’: verzekeraar weigert trans vrouwen operatie gezicht",2023-09-14,International,Algemeen Dagblad,News,1146,,1146,"Netherlands, Kingdom of the",Eric Reijnen Rutten,,,,"‘Mevrouw, u ziet er niet mannelijk genoeg uit’: verzekeraar weigert trans vrouwen operatie gezicht","‘Mevrouw, u ziet er niet mannelijk genoeg uit’: verzekeraar weigert trans vrouwen operatie gezicht Uitgelachen worden op straat. Steeds aangesproken worden met meneer, weggestuurd worden van het damestoilet. Veel trans vrouwen, die biologisch als man zijn geboren, hebben er last van. Maar een gezichtsoperatie wordt vaak niet vergoed, terwijl dat de oplossing zou kunnen zijn.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,37
Forum houdt rechts aan in verkiezingsprogramma en wil niet weten van transgender woke en klimaatr,2023-09-14,International,Algemeen Dagblad,News,510,,510,"Netherlands, Kingdom of the",Tobias den Hartog,,,,Forum houdt rechts aan in verkiezingsprogramma en wil niet weten van transgender woke en klimaatr,Forum houdt rechts aan in verkiezingsprogramma en wil niet weten van transgender woke en klimaatr Lage belastingen hard kunnen rijden heropenen van kolencentrales en een verbod op ‘transgenderpropaganda’. Forum voor Democratie mikt met het verkiezingsprogramma op de rechterflank en - natuurlijk - de conservatievere burger.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,37
"‘Mevrouw, u ziet er niet mannelijk genoeg uit’: verzekeraar weigert transvrouwen operatie gezicht",2023-09-14,International,Algemeen Dagblad,News,1136,,1136,"Netherlands, Kingdom of the",Eric Reijnen Rutten,,,,"‘Mevrouw, u ziet er niet mannelijk genoeg uit’: verzekeraar weigert transvrouwen operatie gezicht","‘Mevrouw, u ziet er niet mannelijk genoeg uit’: verzekeraar weigert transvrouwen operatie gezicht Uitgelachen worden op straat. Steeds aangesproken worden met meneer, weggestuurd worden van het damestoilet. Veel transvrouwen, die biologisch als man zijn geboren, hebben er last van. Maar een gezichtsoperatie wordt vaak niet vergoed, terwijl dat de oplossing zou kunnen zijn.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,37
Forum houdt rechts aan in verkiezingsprogramma,2023-09-15,International,Algemeen Dagblad,News,143,Landelijk;Blz. 4,143,"Netherlands, Kingdom of the",TOBIAS DEN HARTOG,,,,Forum houdt rechts aan in verkiezingsprogramma,"Forum houdt rechts aan in verkiezingsprogramma Lage belastingen, hard kunnen rijden, heropenen van kolencentrales en een verbod op 'transgenderpropaganda'. Forum voor Democratie mikt met het verkiezingsprogramma op de rechterflank en - natuurlijk - de conservatievere burger. Partijleider Thierry Baudet spreekt van de 'enige echte oppositiepartij van Nederland'. Eentje die 'wél' een 'einde wil maken aan de woke-gekte en de klimaatpropaganda'. Zo pleit Forum voor een verbod op 'transgenderpropaganda' op scholen en op tv voor de jeugd. 'Ook wordt het onmogelijk voor minderjarigen om geslachtsoperaties te ondergaan, of hormoontherapie', is in het programma te lezen. Daarnaast moet Nederland 'mediator' worden tussen Rusland en Oekraïne, zodat het 'zinloze bloedvergieten' stopt, schrijft de partij. Of hij met deze standpunten tot een niche in de Kamer is veroordeeld? Baudet denkt van niet. ,,Ik denk dat wij grote kiezersgroepen aanspreken. En wij zijn bereid zakelijk iedere andere partij tegemoet te treden."" Forum wil verder contant geld behouden, 130 rijden en een streng asielbeleid.",AD/Algemeen Dagblad,Krant,,,,,AD 2022-2023 hele sample.XLSX,2023-09,37
Op die dagen ga ik graag in de kattenbak naar het toilet,2023-09-18,International,Algemeen Dagblad,News,375,,375,"Netherlands, Kingdom of the",Renske Kruitbosch,,,,Op die dagen ga ik graag in de kattenbak naar het toilet,"Op die dagen ga ik graag in de kattenbak naar het toilet Stel nou dat we alles genderneutraal zouden benaderen. Geen juffen of meesters, maar ‘leraren’, en geen ruiter of amazone, maar ‘paardrijder’. Geen vroedvrouw of vroedman, maar ‘verloskundige’, en geen doelman of keepster, maar ‘bal-uit-het-net-houder’.We gaan even een stukkie richting de Randstad. Gisteravond werden in het Internationaal Theater Amsterdam de belangrijkste toneelprijzen uitgereikt.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,38
‘Wat een zielig praatje van Transavia-topman Marcel de Nooijer’,2023-09-20,International,Algemeen Dagblad,News,773,,773,"Netherlands, Kingdom of the",Redactie,,,,‘Wat een zielig praatje van Transavia-topman Marcel de Nooijer’,"‘Wat een zielig praatje van Transavia-topman Marcel de Nooijer’ De redactie krijgt regelmatig brieven van lezers, over actuele onderwerpen of over geplaatste artikelen. Wilt u ook reageren? Mail dan naar redactie.discussie@gelderlander.nl. Mogelijk komt uw reactie dan in de krant en op onze website. Hieronder een selectie van ingezonden brieven.Wat een zielig praatje van de CEO van Transavia, Marcel de Nooijer in De Gelderlander van dinsdag 19 september.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,38
Transgenderhaat verscheurt metalband: zanger ontslagen week vóór concert in Tilburg,2023-09-22,International,Algemeen Dagblad,News,776,,776,"Netherlands, Kingdom of the",Sebastiaan Quekel,,,,Transgenderhaat verscheurt metalband: zanger ontslagen week vóór concert in Tilburg,Transgenderhaat verscheurt metalband: zanger ontslagen week vóór concert in Tilburg De zanger van de Australische metalband Thy Art is Murder die komende donderdag in het Tilburgse poppodium 013 optreedt is ontslagen wegens beschuldigingen van transfobe opmerkingen. Dat maakt de band vrijdag bekend nota bene op de dag van de lancering van het nieuwe album. Zanger Chris McMahon is op het laatste moment van de plaat op streamingsdiensten geschrapt. Op de cd’s en vinyls die al gedrukt waren is hij nog wel te horen. Een unieke situatie.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,38
25 jaar en levenslang geëist tegen Sharona en Bill uit Den Bosch na dubbele moord en vlucht in dure hotels,2023-09-22,International,Algemeen Dagblad,News,827,,827,"Netherlands, Kingdom of the",Dominique Elshout,,,,25 jaar en levenslang geëist tegen Sharona en Bill uit Den Bosch na dubbele moord en vlucht in dure hotels,25 jaar en levenslang geëist tegen Sharona en Bill uit Den Bosch na dubbele moord en vlucht in dure hotels LIESHOUT /DEN BOSCH - Voor de moord op Willem van der Willigen in Lieshout en Amsterdammer Benito van Ommeren moet Bill C. levenslang de cel in. Tegen Sharona de J. eist de officier van justitie 25 jaar. Officier Hugo Storij vindt dat Bosschenaar Bill C. (52) levensgevaarlijk is. Hij gebruikte twee keer dodelijk geweld en wil niet meewerken aan onderzoek naar zijn psyche en eventueel behandeling. Het aandeel van Sharona de J. bij de dood van de twee slachtoffers was minder. Zij hoorde vrijdag in Den Bosch 25 jaar eisen.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,38
Gio voelde zich als dakloze lhbti+’er niet veilig op straat: ‘Aparte daklozenopvang is noodzakelijk’,2023-09-23,International,Algemeen Dagblad,News,1257,,1257,"Netherlands, Kingdom of the",Zoë van Leeuwen,,,,Gio voelde zich als dakloze lhbti+’er niet veilig op straat: ‘Aparte daklozenopvang is noodzakelijk’,Gio voelde zich als dakloze lhbti+’er niet veilig op straat: ‘Aparte daklozenopvang is noodzakelijk’ Gio van der Loos pleit voor een aparte opvang voor dak- en thuisloze lhbti+’ers. Deze gemeenschap moet in bescherming worden genomen.’’ Als geen ander weet hij hoe het is om zich bedreigd te voelen in een omgeving die juist is bedoeld als veilige haven. Gio was 20 jaar toen hij met zijn hele inboedel op straat kwam te staan. Door een eetstoornis en een verslaving kwam hij terecht in een safehouse. De eetstoornis werd alleen maar erger en ook ging het mentaal in een rap tempo bergafwaarts.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,38
"Asielzoekers in het oude belastingkantoor: ‘Fijn midden in de stad, maar het is wachten op het échte leven’",2023-09-23,International,Algemeen Dagblad,News,770,,770,"Netherlands, Kingdom of the",Leo Klaassen,,,,"Asielzoekers in het oude belastingkantoor: ‘Fijn midden in de stad, maar het is wachten op het échte leven’","Asielzoekers in het oude belastingkantoor: ‘Fijn midden in de stad, maar het is wachten op het échte leven’ Veel Nijmegenaren weten niet eens dat er een asielzoekerscentrum zit in het oude belastingkantoor tegenover het centraal station. Het kleine azc heeft een bont gezelschap aan bewoners, zagen bezoekers van een open dag. Ze zeggen het allemaal, de asielzoekers en statushouders die je spreekt in het azc in het oude belastingkantoor van Nijmegen. Ze kennen eigenlijk geen Nederlanders, spreken ze amper. Ook nu er deze zaterdag tientallen Nederlanders door hun woongebouw lopen en van medewerkers uitleg krijgen, komen de twee groepen niet of nauwelijks in gesprek.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,38
Loiza Lamers stelt theatertournee uit,2023-09-27,International,Algemeen Dagblad,News,248,,248,"Netherlands, Kingdom of the",Showredactie,,,,Loiza Lamers stelt theatertournee uit,Loiza Lamers stelt theatertournee uit Loiza Lamers heeft haar theatertournee uitgesteld naar volgend jaar. Het model heeft meer tijd nodig om het ‘helemaal perfect maken zoals ik het voor ogen heb’ schrijft ze in haar Instagram Stories.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,39
Pijnlijk: Nederlandse metalfans zingen tijdens concert massaal om ontslagen frontman,2023-09-29,International,Algemeen Dagblad,News,789,,789,"Netherlands, Kingdom of the",Sebastiaan Quekel,,,,Pijnlijk: Nederlandse metalfans zingen tijdens concert massaal om ontslagen frontman,"Pijnlijk: Nederlandse metalfans zingen tijdens concert massaal om ontslagen frontman De Australische metalband Thy Art is Murder, een graag geziene gast op Nederlandse festivals, ligt in de eigen achterban flink onder vuur voor het op straat zetten van de originele zanger. In het Tilburgse poppodium 013 lieten honderden fans donderdagavond hun ongenoegen blijken door meermaals de naam van de ontslagen frontman te scanderen. Pijnlijk voor de band, die net op dat moment een nieuwe, tamelijk onbekende zanger introduceerde.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,39
Wil je niet missen: Movies that Matter-docu: BLUE ID + Q&A,2023-09-29,International,Algemeen Dagblad,News,432,,432,"Netherlands, Kingdom of the",indebuurt.nl,,,,Wil je niet missen: Movies that Matter-docu: BLUE ID + Q&A,Wil je niet missen: Movies that Matter-docu: BLUE ID + Q&A Het nieuwe seizoen van de reeks films over mensenrechten en maatschappelijke kwesties in Filmhuis Gouda start woensdag 4 oktober met de docu BLUE ID (Publieksprijs IDFA 2022). De film volgt tien jaar lang de vele sociale en persoonlijke kanten van de gendertransitie van acteur Rüzgar Erkoçlar. Transfobie blijkt in Turkije alom aanwezig en het feit dat hij eerder beroemd was (als actrice Nil Erkoçlar) maakt het voor Rüzgar stukken erger. De film is Engels ondertiteld.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-09,39
"Sinds Lidi vrouw is, ziet ze haar zoons niet meer: ‘Ik zou graag willen dat ze mij accepteren zoals ik nu ben’",2023-10-01,International,Algemeen Dagblad,News,1458,,1458,"Netherlands, Kingdom of the",Valeska Nastaly,,,,"Sinds Lidi vrouw is, ziet ze haar zoons niet meer: ‘Ik zou graag willen dat ze mij accepteren zoals ik nu ben’","Sinds Lidi vrouw is, ziet ze haar zoons niet meer: ‘Ik zou graag willen dat ze mij accepteren zoals ik nu ben’ Lidi Caspers uit Dreischor was tot haar zestigste een man. Dertig jaar getrouwd geweest met een vrouw, twee kinderen. Maar het klopte voor haar gevoel niet, tot het kwartje viel. ,,Het is niet zomaar ‘ik wil geen man meer zijn’, ik wil dat mensen dat weten.” Het heeft voor u lang geduurd voordat u als vrouw verder door het leven ging. Wanneer klopte uw gevoel niet meer?",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,39
Verlof om van geslacht te veranderen: dit is transitieverlof en zo is het geregeld,2023-10-03,International,Algemeen Dagblad,News,1244,,1244,"Netherlands, Kingdom of the",Naomi Defoer,,,,Verlof om van geslacht te veranderen: dit is transitieverlof en zo is het geregeld,"Verlof om van geslacht te veranderen: dit is transitieverlof en zo is het geregeld Steeds meer grote werkgevers zoals Aegon,  Ikea en NS bieden transitieverlof aan voor transpersonen. Bij het Rijk staan daar zelfs 165 dagen voor. Transitieverlof is betaald verlof van de werkgever om, zonder ziekmelding, van geslacht te kunnen veranderen. Waarom is transitieverlof nodig? ,,Ik hoefde mij niet meer ziek te melden of vakantie op te nemen voor de afspraken op de genderpoli.” De gemeente Amsterdam was volgens Lis Dekkers, beleidsadviseur bij Transgender Netwerk, de eerste organisatie in Nederland die transitieverlof aanbood in 2017 maar wel in vrij beperkte vorm. Dekkers: ,,Vooral de afgelopen drie jaar is er meer aandacht voor en wordt transitieverlof ook echt ingevoerd bij steeds meer (grote) bedrijven.” In juni zei minister Dijkgraaf nog dat er in 2023 geen geld vrijgemaakt kan worden voor transitieverlof. Volgend jaar wordt er opnieuw naar gekeken. Omdat transitieverlof dus (nog) niet wettelijk is geregeld, draaien werkgevers zelf op voor de kosten. Ongeacht of het binnen de CAO is opgenomen of dat er een nieuw beleid voor is ontwikkeld. ,,Voor grote bedrijven is dat geen probleem’’, licht Dekkers toe. ,,Maar voor kleine bedrijven wel. Die kunnen dit moeilijker financieren. Waardoor werknemers noodgedwongen vakantiedagen op moeten nemen, zich ziek moeten melden of soms zelfs worden ontslagen. Dit draagt niet bij aan de inclusie. Daarom strijden wij ervoor dat transitieverlof landelijk wordt geregeld en wettelijk wordt vastgelegd.’’ 180.000 transpersonen Uit cijfers van adviesbureau Strategies in Regulated Markets (SiRM) blijkt dat Nederland circa 180.000 transpersonen telt.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,40
Verdachte van moord op transseksuele prostituee ontkent elke betrokkenheid: ‘Het is niet gebeurd’,2023-10-03,International,Algemeen Dagblad,News,441,,441,"Netherlands, Kingdom of the",Wouter Laumans,,,,Verdachte van moord op transseksuele prostituee ontkent elke betrokkenheid: ‘Het is niet gebeurd’,Verdachte van moord op transseksuele prostituee ontkent elke betrokkenheid: ‘Het is niet gebeurd’ Na twee decennia hield de politie afgelopen zomer een man aan voor de moord op de transseksuele prostituee Judy Pineda. Dinsdag stond de verdachte voor het eerst voor de rechter.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,40
Haat tegen homo’s neemt flink toe ook in Brabant: ‘Zoenen in het openbaar doe je niet meer’,2023-10-04,International,Algemeen Dagblad,News,598,,598,"Netherlands, Kingdom of the",Peter Ullenbroeck,,,,Haat tegen homo’s neemt flink toe ook in Brabant: ‘Zoenen in het openbaar doe je niet meer’,Haat tegen homo’s neemt flink toe ook in Brabant: ‘Zoenen in het openbaar doe je niet meer’ BREDA - Een Dongenaar die in elkaar wordt geslagen na een date via homo-datingapp Grinder. De politie die 15.000 euro uitlooft na de moord op een Bredanaar die dood gevonden wordt op een homo-ontmoetingsplaats. Neemt het geweld tegen homo’s toe? In onze eigen community hoor je mensen zeggen dat ze voorzichtiger worden.” Zo ernstig als de twee genoemde zaken is het overgrote deel van het geweld tegen homo’s lesbiennes biseksuelen en transgenders gelukkig niet. Maar de cijfers geven te denken. Vervelende opmerkingen discriminatie bedreigingen en geweld tegen deze groep nemen de laatste jaren toe.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,40
‘Woorden van haat worden omgezet in daden van haat’: transgenders en non-binairen voelen zich minder veilig,2023-10-06,International,Algemeen Dagblad,News,477,,477,"Netherlands, Kingdom of the",Albert Heller,,,,‘Woorden van haat worden omgezet in daden van haat’: transgenders en non-binairen voelen zich minder veilig,‘Woorden van haat worden omgezet in daden van haat’: transgenders en non-binairen voelen zich minder veilig Transgenders en Gelderlanders die zichzelf niet per se zien als man of vrouw (non-binaire personen) voelen zich minder geaccepteerd dan twee jaar geleden. Ook worden incidenten door lhbti’ers heel weinig gemeld.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,40
Transgendervrouw voor het eerst gekroond tot Miss Portugal,2023-10-06,International,Algemeen Dagblad,News,170,,170,"Netherlands, Kingdom of the",Showredactie,,,,Transgendervrouw voor het eerst gekroond tot Miss Portugal,"Transgendervrouw voor het eerst gekroond tot Miss Portugal Een transgendervrouw heeft voor het eerst de titel Miss Portugal gewonnen. Zij zal met onder anderen een andere transgendervrouw, Miss Nederland, strijden om de Miss Universe-titel in het Midden-Amerikaanse El Salvador , melden Portugese media.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,40
Van drag queen bingo tot trans-filmfestival: dit is het programma van de Coming out week,2023-10-06,International,Algemeen Dagblad,News,378,,378,"Netherlands, Kingdom of the",Joyce Hoogland,,,,Van drag queen bingo tot trans-filmfestival: dit is het programma van de Coming out week,Van drag queen bingo tot trans-filmfestival: dit is het programma van de Coming out week Komende week wordt er met de ‘Coming out week’ extra aandacht gevraagd voor seksuele diversiteit en genderidentiteit in Den Haag. Van zondag 8 tot en met zondag 15 oktober is er vanalles te beleven zoals een trans-filmfestival coming-in cocktail night en drag queen bingo.,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,40
Deze kerk zegent al sinds 1986 homo-huwelijken in: ‘Waren de eerste ter de wereld’,2023-10-08,International,Algemeen Dagblad,News,1098,,1098,"Netherlands, Kingdom of the",Maaike Kooistra,,,,Deze kerk zegent al sinds 1986 homo-huwelijken in: ‘Waren de eerste ter de wereld’,"Deze kerk zegent al sinds 1986 homo-huwelijken in: ‘Waren de eerste ter de wereld’ De kerk geen optie voor wie gay is? Geloof niets voor trans-personen? De Utrechtse Geertekerk liep in de jaren 80 met haar homohuwelijk al vér voor de wet uit en draagt nog altijd dezelfde boodschap uit: ,,Hier hoef je niet nog een keer uit de kast te komen, wij nemen je zoals je bent.” En dit weekend klinkt dat geluid nog eens extra, op Coming Out Zondag.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,40
"‘Kankerhomo’ hoort Rik, die non-binair is, van twee maaltijdbezorgers: ‘Je gaat je mannelijker gedragen als je een groepje ziet’",2023-10-09,International,Algemeen Dagblad,News,513,,513,"Netherlands, Kingdom of the",Redactie,,,,"‘Kankerhomo’ hoort Rik, die non-binair is, van twee maaltijdbezorgers: ‘Je gaat je mannelijker gedragen als je een groepje ziet’","‘Kankerhomo’ hoort Rik, die non-binair is, van twee maaltijdbezorgers: ‘Je gaat je mannelijker gedragen als je een groepje ziet’ ‘Kankerhomo’ klonk het over straat in Arnhem . Twee maaltijdbezorgers riepen het een paar weken geleden nog naar  Rik Berends toen die terug kwam van een museum. Het laatste half jaar ziet de Arnhemmer, die non-binair is, de negatieve reacties toenemen. ,,Ook online groeien de haatreacties.” ,,Ik identificeer mezelf als non-binair, dat weet ik sinds een jaar of drie. Toen ik daar destijds mee naar buiten kwam, vond ik het spannend, maar eigenlijk waren er amper reacties. Nu is dat anders”, vertelt Berends.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,41
Jip ging in transitie tot man maar voelde zich daar ook niet thuis: 'Nu kan ik eindelijk mezelf zijn’,2023-10-10,International,Algemeen Dagblad,News,1108,,1108,"Netherlands, Kingdom of the",Joost Dijkgraaf,,,,Jip ging in transitie tot man maar voelde zich daar ook niet thuis: 'Nu kan ik eindelijk mezelf zijn’,"Jip ging in transitie tot man maar voelde zich daar ook niet thuis: 'Nu kan ik eindelijk mezelf zijn’ Terwijl de acceptatie van de regenbooggemeenschap in Twente volgens onderzoek een zeer moeizaam verhaal is, komt Jip Schutte (21) openlijk uit de kast als non-binair. Dit is diens verhaal. Ik snap dat mensen vinden dat ‘woke’ ze door de strot geduwd wordt, maar waarom zoveel haat?” Oh ja”, zegt Jip Schutte (21) op het eind van het gesprek. Zou je op de aanspreekvorm willen letten in het artikel? Voor mij zijn dat ‘die’ en ‘diens’. Ik zou het prettig vinden als dat niet mis gaat.”  Tot een paar jaar geleden vond Jip het zelf ook maar onzin, die ingewikkelde aanspreekvormen, maar sinds die zichzelf identificeert als non-binair, is Jip er waarde aan gaan hechten.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,41
"Alarmerende trend in acceptatie lhbtiqa+ in Twente: ‘Ik vertik het om te verhuizen, omdat anderen het niet oké vinden wie ik ben’",2023-10-10,International,Algemeen Dagblad,News,751,,751,"Netherlands, Kingdom of the",Joost Dijkgraaf,,,,"Alarmerende trend in acceptatie lhbtiqa+ in Twente: ‘Ik vertik het om te verhuizen, omdat anderen het niet oké vinden wie ik ben’","Alarmerende trend in acceptatie lhbtiqa+ in Twente: ‘Ik vertik het om te verhuizen, omdat anderen het niet oké vinden wie ik ben’ Het gaat niet goed met de acceptatie van de regenbooggemeenschap in Twente. Dat blijkt uit nieuw, grootschalig onderzoek. Eén op de vijf lhbtiqa+’ers is verhuisd of wil dat doen. Intimidatie is aan de orde van de dag. Helaas is dit geen verrassing.” Het onderzoek is groter dan ooit aangepakt en uniek in Nederland, zegt onderzoekster Marleen Hasselt. Maar liefst 2347 mensen uit Overijssel en Gelderland die zich identificeren met een letter binnen de gemeenschap lhbtiqa+ (lesbisch, homoseksueel, biseksueel, transgender, intersekse, queer en aseksueel) deelden openhartig hun ervaringen.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,41
"Xanne-Li zat als non-binair op christelijke school: ‘Ik moest een rok aan, verschrikkelijk’",2023-10-16,International,Algemeen Dagblad,News,1026,,1026,"Netherlands, Kingdom of the",Florine Nesselaar,,,,"Xanne-Li zat als non-binair op christelijke school: ‘Ik moest een rok aan, verschrikkelijk’","Xanne-Li zat als non-binair op christelijke school: ‘Ik moest een rok aan, verschrikkelijk’ Xanne-Li Olbertijn is geboren als meisje, maar diens hele jeugd voelt de 25-jarige zich anders dan kinderen in de omgeving. Xanne-Li ontdekt dat die non-binair is en op vrouwen valt. Hiervoor uitkomen was op de reformatorische school allesbehalve appeltje-eitje, op een plek waar een relatie tussen twee mensen van hetzelfde geslacht wordt afgewezen. ,,We leerden dat het zondig is.” ‘Non-binair zijn betekent voor mij de ruimte voelen om vooral mezelf te mogen zijn’. Die boodschap van de 25-jarige inwoner van Gouda prijkt samen met diens foto een week lang op het scherm boven de Goudse Schouwburg. Wie het welbekende gebouw passeert, vangt een glimp op van Xanne-Li en een deel van diens verhaal. Een verhaal dat op deze manier zichtbaar is voor velen.",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,42
Levi is een man in een vrouwenlichaam: ‘Mijn moeder zegt dat ze nooit hardop zal uitspreken dat ik haar zoon ben’,2023-10-16,International,Algemeen Dagblad,News,1040,,1040,"Netherlands, Kingdom of the",Marjon Kok,,,,Levi is een man in een vrouwenlichaam: ‘Mijn moeder zegt dat ze nooit hardop zal uitspreken dat ik haar zoon ben’,"Levi is een man in een vrouwenlichaam: ‘Mijn moeder zegt dat ze nooit hardop zal uitspreken dat ik haar zoon ben’ Zijn oma van 93 zei: ‘Fijn, ik heb er een kleinzoon bij’. Maar zijn ouders weigeren hem bij zijn naam te noemen. Levi Major is een man, en binnenkort stapt hij in het lichaam dat daarbij past. Dit is Levi en dit is zijn verhaal. Hij komt aanlopen met een broodje, in zijn andere hand een sigaret. Binnenkort gaat hij stoppen. „Volgende week.” Levi Major (29) denkt even na. Dan: „Nee, na de release van mijn eerste album.” Beloofd. Levi is een van de grote muziekbeloftes voor de toekomst. En roken? „Niet best natuurlijk, ook niet voor mijn stem.” Maar het is vooral dit: na zijn grote show in De Kleine Willem begint hij met hormonen. En roken kan zijn tweede puberteit verstoren, zegt hij. De operatie zal nog even op zich laten wachten. Anderhalf jaar, de wachtlijst bij de genderpoli in Amsterdam is lang. Of hij zich erop verheugt? „Ontzettend. Ik weet al heel lang dat ik me mannelijk voel.” Paniek, omdat ik bang was dat ik in de hel zou komen. Ik was bang voor alles",AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,42
Zwolle vergoedt kosten voor wijzigen geslacht (en niet iedereen is daar blij mee),2023-10-18,International,Algemeen Dagblad,News,593,,593,"Netherlands, Kingdom of the",Jasper van Loo,,,,Zwolle vergoedt kosten voor wijzigen geslacht (en niet iedereen is daar blij mee),Zwolle vergoedt kosten voor wijzigen geslacht (en niet iedereen is daar blij mee) Als een van de eerste gemeenten in het land gaat Zwolle een deskundigenverklaring vergoeden die nodig is voor een geslachtswijziging in het paspoort of identiteitsbewijs. Het aantal mensen dat het geslacht wil wijzingen in Zwolle stijgt al jaren. Waarom gaat Zwolle dit doen en is niet elke politieke partij daar blij mee?,AD/Algemeen Dagblad.nl,Web Publicatie,,,,,AD 2022-2023 hele sample.XLSX,2023-10,42
Een 'x' in het paspoort? Daar blijft de rechter nog voor nodig,2023-10-21,International,Algemeen Dagblad,News,637,Landelijk;Blz. 11,637,"Netherlands, Kingdom of the",TAHRIM RAMDJAN,,,,Een 'x' in het paspoort? Daar blijft de rechter nog voor nodig,"Een 'x' in het paspoort? Daar blijft de rechter nog voor nodig Na ruim twee jaar is er uitspraak in de zaak die Senn van Beek tegen de staat had aangespannen: non-binaire personen die een 'x' in het paspoort willen, krijgen het voorlopig niet makkelijker. Maar de staat moet wel aan het werk, aldus de rechter. Non-binaire personen putten hoop uit vonnis Haagse rechtbank Personal trainer en coach Senn van Beek (36), die zich identificeert als non-binair (geen man, geen vrouw, red), spande twee jaar geleden een zaak aan tegen de Staat der Nederlanden. Mensen die een 'x' in hun paspoort willen, kunnen die wel krijgen, maar enkel met een gekunstelde juridische redenering, bij wijze van uitzondering.",AD/Algemeen Dagblad,Krant,,,,,AD 2022-2023 hele sample.XLSX,2023-10,42
